schoolID,Round32,Sweet16,Elite8,Final4,Final,Champion,Round32TotalPred,Sweet16TotalPred,Elite8TotalPred,Final4TotalPred,FinalTotalPred,ChampionTotalPred,offanddef_round32pred,offanddef_sweet16pred,offanddef_elite8pred,offanddef_final4pred,offanddef_finalpred,offanddef_championpred
Syracuse2013,1,1,1,1,0,0,3.110506326,2.514817049,1.466483778,0.650050663,0.283146331,0.193063103,1.819423815,1.465879739,0.855988315,0.438794505,0.163950218,0.113391626
Syracuse2014,1,0,0,0,0,0,1.639771883,1.072531106,0.499776251,0.41055752,0.260759073,0.121842328,1.082497255,0.669876087,0.337209384,0.127614359,0.050247903,0.073446695
Syracuse2016,1,1,1,1,0,0,1.648513242,1.559151453,0.809016398,0.732967204,0.15672398,0.110542938,1.171020952,0.978384638,0.540729566,0.289990981,0.11615378,0.063957001
Syracuse2018,1,1,0,0,0,0,2.430562938,1.830560891,1.184346468,0.591413132,0.284014307,0.167971766,1.535227564,1.122881251,0.641115375,0.310683003,0.164818194,0.08830029
Syracuse2019,0,0,0,0,0,0,1.719024588,1.045943692,0.577854234,0.282015608,0.125463943,0.108591471,1.013310481,0.657661705,0.358128618,0.139894318,0.053120525,0.060195838
TCU2018,0,0,0,0,0,0,1.112392093,0.956147246,0.407668595,0.236667592,0.141384516,0.070586207,0.682084365,0.530296113,0.173352008,0.087601093,0.068522377,0.024000269
Temple2010,0,0,0,0,0,0,0.860908777,0.400507405,0.250674166,0.30553379,0.232863129,0.050837027,0.6126998,0.292631822,0.04046366,-0.015900727,0.015550742,0.019561184
Temple2011,1,0,0,0,0,0,1.115955644,0.750696061,0.654867387,0.403021778,0.3179823,0.08206981,0.805872777,0.545894673,0.271673547,0.120078616,0.072381492,0.033674177
Temple2012,0,0,0,0,0,0,0.61651048,0.038725063,-0.078066333,-0.02682474,-0.001134222,0.006127642,0.415204172,0.122739014,0.018767412,-0.02682474,-0.001134222,0.006127642
Temple2013,1,0,0,0,0,0,0.89491804,0.320252736,0.369811278,0.220608715,0.141448415,0.042202425,0.628121947,0.534187041,0.251552845,0.139832836,0.05756391,0.042202425
Temple2016,0,0,0,0,0,0,0.659738865,0.392670981,0.075604199,-0.039321107,0.047747414,0.058078022,0.553576274,0.299947798,0.091168748,-0.039321107,0.012657775,-0.00492703
Temple2019,0,0,0,0,0,0,1.071072899,1.135782853,0.271977911,0.141900301,0.057027111,0.101966343,0.770847415,0.617977979,0.274539086,0.107163315,0.057027111,0.038961291
Tennessee2010,1,1,1,0,0,0,1.610685432,0.837370559,0.369816307,0.223580434,0.126837444,0.082586684,0.985534092,0.664785098,0.259589039,0.11619613,0.054494026,0.03419105
Tennessee2011,0,0,0,0,0,0,1.3852701,0.5672291,0.30164963,0.199581577,0.08939442,0.08416926,0.988770157,0.491582134,0.24351952,0.092518884,0.04882422,0.037583322
Tennessee2014,1,1,0,0,0,0,1.254227875,0.879157173,0.307537212,0.144741457,0.080186058,0.029708346,0.777712863,0.768184811,0.323101761,0.144741457,0.04509642,0.029708346
Tennessee2018,1,0,0,0,0,0,1.925214029,1.022384174,0.430511042,0.360551863,0.149390332,0.094227285,1.22062383,0.836941544,0.433594277,0.221943024,0.102537636,0.062951441
Tennessee2019,1,1,0,0,0,0,2.108874648,1.293040171,0.638555886,0.362551678,0.151352797,0.10334853,1.258157809,0.961521757,0.430586595,0.220751998,0.110782598,0.056762592
Texas A&M2010,1,0,0,0,0,0,1.230106161,-0.12399662,-0.027779733,-0.165801028,0.093873606,0.022255568,0.648872838,0.124574947,0.069054012,-0.053081155,-0.027297623,-0.006283888
Texas A&M2011,0,0,0,0,0,0,0.815610146,0.290145207,-0.05817578,-0.067300807,0.00327212,-0.010192885,0.433754982,0.179376787,-0.05817578,-0.067300807,0.00327212,-0.010192885
Texas A&M2016,1,1,0,0,0,0,2.480582319,1.770349831,0.827925038,0.446997455,0.231073181,0.097528811,1.600766173,1.28837586,0.651910239,0.33148459,0.147188676,0.097528811
Texas A&M2018,1,1,0,0,0,0,1.116049945,0.749728665,0.350886344,0.156504363,0.086181454,0.045941886,0.707164726,0.425305449,0.193835054,0.05263251,0.039328758,0.014666043
Texas Southern2014,0,0,0,0,0,0,1.197321,0.86945203,0.55577668,0.308053964,0.070178278,0.022694784,0.640889852,0.473068133,0.221730076,0.1352685,0.070178278,0.022694784
Texas Southern2015,0,0,0,0,0,0,0.862774178,0.459595635,-0.022049157,-0.014337234,0.044101681,-0.026074415,0.647353192,0.088982852,-0.019487983,-0.04907422,0.044101681,-0.026074415
Texas Southern2017,0,0,0,0,0,0,1.421922811,0.527321848,0.193745773,0.152971183,0.097032333,0.026473824,0.959492539,0.598000675,0.244934852,0.118234197,0.097032333,0.026473824
Texas Southern2018,0,0,0,0,0,0,1.476721814,1.114731243,0.534230995,0.241613806,0.24358382,0.039992454,1.015521528,0.697942832,0.337449066,0.172139834,0.079768845,0.039992454
Texas Tech2016,0,0,0,0,0,0,0.762612901,0.556622339,0.210483064,0.158112522,0.151199354,0.036047693,0.699521853,0.377725548,0.108998384,0.012236863,0.072054719,0.00477185
Texas Tech2018,1,1,1,0,0,0,1.245293979,1.162706749,0.409665097,0.07976215,0.066853324,0.032349536,0.94064452,0.645411969,0.231159014,0.07976215,0.066853324,0.032349536
Texas Tech2019,1,1,1,1,1,0,1.978762178,1.137632318,0.861587326,0.482961559,0.360015522,0.099146791,1.226878202,0.883776042,0.44437561,0.194642039,0.109774827,0.067870947
Texas2010,0,0,0,0,0,0,1.936012011,1.1189038,0.420207672,0.160819913,0.185606255,0.197979972,1.134022388,0.775750564,0.375345967,0.126082927,0.064920125,0.05121974
Texas2011,1,0,0,0,0,0,1.347997647,0.980238689,0.563568317,0.274658706,0.199585908,0.066636302,1.075693081,0.775432277,0.380814441,0.170786853,0.117643573,0.035360459
